id	group	capability	candidate_evaluations	metrics	license_status	contamination_key	gate_status
SEM-01	core_semantics	lexical_compositional_meaning	GLUE/SST? (diagnostic only); BLiMP / compositional challenge candidates; custom licensed minimal-pair suite	accuracy; macro_f1	PENDING_N0_R2_EXACT_LICENSE_REVIEW	SEM-01	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
SEM-02	core_semantics	paraphrase_equivalence	PAWS; MRPC; custom meaning-preserving perturbations	accuracy; macro_f1	PENDING_N0_R2_EXACT_LICENSE_REVIEW	SEM-02	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
SEM-03	core_semantics	semantic_textual_similarity	STS Benchmark; MTEB STS subsets	spearman; pearson	PENDING_N0_R2_EXACT_LICENSE_REVIEW	SEM-03	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
SEM-04	core_semantics	entailment_contradiction_neutrality	SNLI; MNLI; ANLI (noncommercial/research candidate pending exact license)	accuracy; macro_f1	PENDING_N0_R2_EXACT_LICENSE_REVIEW	SEM-04	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
SEM-05	core_semantics	negation_quantification_modality	GLUE diagnostic; HELP / monotonicity candidates; custom minimal pairs	accuracy; macro_f1	PENDING_N0_R2_EXACT_LICENSE_REVIEW	SEM-05	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
SEM-06	core_semantics	coreference_reference_deixis	PUB reference/deixis tasks; Winograd-style candidates; custom pronoun/deixis suite	accuracy; macro_f1	PENDING_N0_R2_EXACT_LICENSE_REVIEW	SEM-06	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
SEM-07	core_semantics	discourse_long_context_consistency	Long-context NLU candidates; custom contradiction-across-context suite	accuracy; consistency_rate	PENDING_N0_R2_EXACT_LICENSE_REVIEW	SEM-07	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
TEMP-01	temporal_causal	temporal_order_duration_state_change	MATRES/TimeBank-derived candidates pending license; custom synthetic temporal relations	accuracy; macro_f1	PENDING_N0_R2_EXACT_LICENSE_REVIEW	TEMP-01	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
CAUS-01	temporal_causal	causality_vs_correlation	COPA-style candidates; causal relation extraction candidates; custom minimal pairs	accuracy; macro_f1	PENDING_N0_R2_EXACT_LICENSE_REVIEW	CAUS-01	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
CAUS-02	temporal_causal	counterfactual_conditional_relations	Abduction/counterfactual candidates; custom structural counterfactuals	accuracy; macro_f1	PENDING_N0_R2_EXACT_LICENSE_REVIEW	CAUS-02	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
